nct_id,enrollment_log,start_year,pre_semaglutide_era,post_semaglutide_era,phase_Unknown,phase_PHASE4,is_obesity,is_t2d,is_weight_loss,exc_count,criteria_total_len,mentions_bmi,mentions_contraindication,mentions_renal_cutoff,high_risk_term_count,risk_ratio,year_x_enrollment,enrollment_log_x_phase_Unknown,label
NCT00438555,5.517452896464707,2006.0,1,0,0,0,1,0,0,0,234,1,0,0,0,0.0,11068.010510308202,0.0,0
NCT02706067,3.9318256327243257,2002.0,1,0,0,0,1,0,1,0,917,1,1,0,0,0.0,7871.5149167141,0.0,0
NCT01740817,2.5649493574615367,2008.0,1,0,0,0,1,0,0,0,2513,0,0,0,0,0.0,5150.418309782765,0.0,0
NCT02770196,5.723585101952381,2015.0,1,0,0,0,1,0,0,0,1782,0,0,0,0,0.0,11533.023980434047,0.0,0
NCT01387334,4.110873864173311,2007.0,1,0,0,0,0,1,0,0,595,0,0,0,0,0.0,8250.523845395835,0.0,0
NCT01492218,7.193685818395112,2004.0,1,0,0,0,0,0,0,0,109,0,0,0,0,0.0,14416.146380063805,0.0,0
NCT01081340,3.737669618283368,2010.0,1,0,0,0,1,0,1,0,750,1,0,0,0,0.0,7512.71593274957,0.0,0
NCT03977116,4.61512051684126,2017.0,0,1,0,0,0,0,0,0,1802,0,0,0,2,0.6666666666666666,9308.698082468822,0.0,0
NCT03414736,4.110873864173311,2018.0,0,1,0,0,0,1,0,0,1581,1,1,0,0,0.0,8295.743457901743,0.0,0
NCT01795144,2.3978952727983707,2014.0,1,0,0,0,0,0,0,0,1065,0,0,0,0,0.0,4829.361079415919,0.0,0
NCT00525850,3.044522437723423,2006.0,1,0,0,0,1,0,1,0,882,0,0,0,0,0.0,6107.312010073187,0.0,0
NCT04666818,3.713572066704308,2020.0,0,1,0,0,0,0,0,0,137,0,0,0,0,0.0,7501.415574742702,0.0,0
NCT02746861,4.574710978503383,2016.0,1,0,0,0,0,0,0,0,90,0,0,0,0,0.0,9222.61733266282,0.0,0
NCT05152121,3.044522437723423,2017.0,0,1,0,0,0,0,0,0,489,1,0,0,0,0.0,6140.801756888144,0.0,0
NCT00481663,6.320768294250582,2003.0,1,0,0,0,0,0,0,0,335,0,0,0,0,0.0,12660.498893383916,0.0,0
NCT00541697,6.47543271670409,2005.0,1,0,0,0,0,0,0,0,532,0,0,0,0,0.0,12983.2425969917,0.0,0
NCT06555146,2.772588722239781,2024.0,0,1,0,0,0,0,0,0,1388,0,0,0,1,0.3333333333333333,5611.719573813317,0.0,0
NCT02078934,0.0,2015.0,1,0,0,0,1,0,1,0,336,1,0,0,0,0.0,0.0,0.0,0
NCT02967237,4.919980925828125,2016.0,1,0,0,0,0,0,0,0,580,0,0,0,0,0.0,9918.6815464695,0.0,0
NCT02555631,3.4011973816621555,2015.0,1,0,0,0,0,1,0,0,381,1,0,0,0,0.0,6853.412724049244,0.0,0
NCT02969954,3.1354942159291497,2016.0,1,0,0,0,0,0,0,0,299,0,0,0,0,0.0,6321.1563393131655,0.0,0
NCT04181307,8.939974177289633,2020.0,0,1,0,0,0,0,0,0,223,0,0,0,0,0.0,18058.74783812506,0.0,0
NCT06786546,4.290459441148391,2023.0,0,1,0,0,0,0,0,0,185,1,0,0,0,0.0,8679.599449443194,0.0,0
NCT07220629,4.394449154672439,2025.0,0,1,0,0,1,0,0,0,1248,1,0,0,0,0.0,8898.759538211689,0.0,0
NCT04822948,7.526178913346146,2018.0,0,1,0,0,1,0,0,0,1071,1,0,0,1,1.0,15187.829047132524,0.0,0
NCT00613782,4.48863636973214,2009.0,1,0,0,0,0,1,0,0,147,0,1,0,0,0.0,9017.67046679187,0.0,0
NCT02545062,5.14166355650266,2014.0,1,0,0,0,0,1,0,0,535,0,0,0,0,0.0,10355.310402796358,0.0,0
NCT04009642,2.19722457733622,2018.0,0,1,0,0,0,0,0,0,1987,0,0,1,1,1.0,4433.999197064491,0.0,0
NCT02684929,2.833213344056216,2013.0,1,0,0,0,0,1,0,0,428,0,0,0,0,0.0,5703.258461585163,0.0,0
NCT02890693,5.356586274672012,2016.0,1,0,0,0,0,0,0,0,251,0,0,0,1,1.0,10798.877929738775,0.0,0
NCT02824003,2.772588722239781,2016.0,1,0,0,0,0,1,0,0,1333,1,0,0,1,0.2,5589.538864035399,0.0,0
NCT04601311,5.41610040220442,2020.0,0,1,0,0,0,1,0,0,330,0,0,0,0,0.0,10940.52281245293,0.0,0
NCT00704795,3.044522437723423,2008.0,1,0,0,0,0,0,0,0,671,1,0,0,1,1.0,6113.401054948634,0.0,0
NCT05171998,3.4339872044851463,2021.0,0,1,0,0,0,0,0,0,410,0,0,0,0,0.0,6940.088140264481,0.0,0
NCT03094767,4.110873864173311,2016.0,1,0,0,0,0,0,0,0,348,0,0,0,0,0.0,8287.521710173396,0.0,0
NCT02703155,3.4339872044851463,2015.0,1,0,0,0,0,0,0,0,235,0,0,0,0,0.0,6919.48421703757,0.0,0
NCT01738802,4.718498871295094,2012.0,1,0,0,0,0,1,0,0,1532,0,0,0,0,0.0,9493.61972904573,0.0,0
NCT00478335,1.6094379124341005,2007.0,1,0,0,0,0,0,0,0,436,0,0,1,0,0.0,3230.141890255239,0.0,0
NCT03653013,3.9318256327243257,2019.0,0,1,0,0,0,0,0,0,246,0,0,0,0,0.0,7938.355952470413,0.0,0
NCT00549536,3.4657359027997265,2007.0,1,0,0,0,0,0,0,0,841,0,0,0,0,0.0,6955.731956919051,0.0,0
NCT01720719,4.795790545596741,2013.0,1,0,0,0,0,0,0,0,2339,1,0,0,1,0.5,9653.92636828624,0.0,0
NCT06430125,3.8501476017100575,2023.0,0,1,0,0,0,0,0,0,730,0,0,0,0,0.0,7788.848598259448,0.0,0
NCT00155610,4.795790545596741,2000.0,1,0,0,0,0,0,0,0,343,0,0,0,0,0.0,9591.581091193482,0.0,0
NCT05134025,2.3978952727983707,2021.0,0,1,0,0,0,0,0,0,1265,0,0,0,2,2.0,4846.146346325507,0.0,0
NCT04313452,3.9318256327243257,2020.0,0,1,0,0,1,0,0,0,576,1,0,0,0,0.0,7942.287778103138,0.0,0
NCT02611232,3.7612001156935615,2015.0,1,0,0,0,0,0,0,0,840,1,1,1,2,2.0,7578.818233122528,0.0,0
NCT04774224,4.5217885770490405,2020.0,0,1,0,0,0,0,0,0,3208,0,0,0,2,0.6666666666666666,9134.01292563906,0.0,0
NCT02159846,3.044522437723423,2013.0,1,0,0,0,0,1,0,0,318,0,0,0,0,0.0,6128.623667137251,0.0,0
NCT06325111,6.68586094706836,2023.0,0,1,0,0,0,0,0,0,519,0,0,0,0,0.0,13525.496695919292,0.0,0
NCT01271517,4.795790545596741,2005.0,1,0,0,0,0,0,0,0,440,0,0,0,1,1.0,9615.560043921469,0.0,0
NCT00542113,7.440733707389261,2001.0,1,0,0,0,1,1,0,0,107,0,0,0,0,0.0,14888.90814848591,0.0,0
NCT01162876,3.044522437723423,2010.0,1,0,0,0,0,0,0,0,925,0,0,0,0,0.0,6119.49009982408,0.0,0
NCT02379299,0.0,2000.0,1,0,0,0,0,0,0,0,1050,0,0,0,0,0.0,0.0,0.0,0
NCT06351176,5.099866427824199,2023.0,0,1,0,0,0,0,0,0,1257,0,0,0,0,0.0,10317.029783488357,0.0,0
NCT06551740,3.555348061489413,2024.0,0,1,0,0,0,0,0,0,3357,1,0,1,4,2.0,7196.024476454573,0.0,0
NCT01855763,5.707110264748875,2008.0,1,0,0,0,0,1,0,0,1030,0,1,0,0,0.0,11459.877411615742,0.0,0
NCT00692562,2.079441541679836,2005.0,1,0,0,0,0,0,0,0,1069,1,0,0,2,1.0,4169.28029106807,0.0,0
NCT02760303,4.110873864173311,2015.0,1,0,0,0,0,0,0,0,451,0,0,0,0,0.0,8283.410836309222,0.0,0
NCT00206258,3.4339872044851463,2002.0,1,0,0,0,0,0,0,0,1196,1,0,0,0,0.0,6874.842383379263,0.0,0
NCT03111433,3.912023005428146,2017.0,0,1,0,0,0,0,0,0,667,0,0,0,0,0.0,7890.550401948571,0.0,0
NCT06445335,5.955837369464831,2019.0,0,1,0,0,0,1,0,0,239,0,0,0,0,0.0,12024.835648949494,0.0,0
NCT00572689,0.0,2013.0,1,0,0,0,0,0,0,0,639,0,1,0,0,0.0,0.0,0.0,0
NCT00988182,3.1354942159291497,2000.0,1,0,0,0,1,0,0,0,195,0,0,0,0,0.0,6270.988431858299,0.0,0
NCT00850694,4.74493212836325,2007.0,1,0,0,0,1,0,0,0,283,1,0,0,0,0.0,9523.078781625043,0.0,0
NCT06488469,3.9318256327243257,2026.0,0,1,0,0,0,0,0,0,591,0,0,0,0,0.0,7965.878731899484,0.0,0
NCT02167243,4.143134726391533,2014.0,1,0,0,0,0,0,0,0,1342,0,0,0,1,1.0,8344.273338952547,0.0,0
NCT02570009,4.859812404361672,2015.0,1,0,0,0,1,0,1,0,1578,1,0,0,0,0.0,9792.521994788767,0.0,0
NCT02039934,4.110873864173311,2014.0,1,0,0,0,0,1,0,0,1217,1,0,0,0,0.0,8279.29996244505,0.0,0
NCT06183034,3.4339872044851463,2024.0,0,1,0,0,1,0,1,0,1112,1,0,0,2,2.0,6950.390101877936,0.0,0
NCT02224417,5.484796933490655,2015.0,1,0,0,0,0,1,0,0,799,0,0,0,0,0.0,11051.865820983669,0.0,0
NCT05500937,6.90875477931522,2021.0,0,1,0,0,0,0,0,0,1038,0,0,0,2,2.0,13962.59340899606,0.0,0
NCT02705430,4.110873864173311,2018.0,0,1,0,0,0,1,0,0,1248,1,0,0,2,2.0,8295.743457901743,0.0,0
NCT01864187,3.044522437723423,2013.0,1,0,0,0,1,0,0,0,348,1,0,0,0,0.0,6128.623667137251,0.0,0
NCT01454284,7.016609683894219,2012.0,1,0,0,0,0,0,0,0,3429,1,0,0,2,1.0,14117.418683995167,0.0,0
NCT02081989,0.0,2015.0,1,0,0,0,0,0,0,0,1258,0,0,0,2,0.4,0.0,0.0,0
NCT03185078,3.688879454113936,2019.0,0,1,0,0,0,0,0,0,865,0,0,0,0,0.0,7447.847617856038,0.0,0
NCT01274715,2.5649493574615367,2011.0,1,0,0,0,0,0,0,0,553,0,0,0,2,2.0,5158.11315785515,0.0,0
NCT06549556,4.61512051684126,2024.0,0,1,0,0,0,0,0,0,388,0,0,0,0,0.0,9341.003926086709,0.0,0
NCT04365400,5.455321115357702,2020.0,0,1,0,0,0,1,0,2,3849,1,0,0,0,0.0,11019.748653022558,0.0,0
NCT02730078,4.8283137373023015,2016.0,1,0,0,0,0,1,0,0,714,0,0,0,1,1.0,9733.88049440144,0.0,0
NCT04524832,5.673323267171493,2020.0,0,1,0,0,0,0,0,0,1407,1,1,0,0,0.0,11460.112999686417,0.0,0
NCT01002768,3.367295829986474,2009.0,1,0,0,0,0,0,0,0,501,1,0,0,2,2.0,6764.897322442826,0.0,0
NCT01195090,4.795790545596741,2009.0,1,0,0,0,0,1,0,0,609,0,1,0,0,0.0,9634.743206103853,0.0,0
NCT01824017,3.58351893845611,2012.0,1,0,0,0,0,1,0,0,684,0,0,0,0,0.0,7210.040104173693,0.0,0
NCT01750333,4.110873864173311,2012.0,1,0,0,0,1,0,0,0,712,1,0,0,0,0.0,8271.078214716703,0.0,0
NCT00099619,4.934473933130692,2004.0,1,0,0,0,0,1,0,0,534,1,0,0,0,0.0,9888.685761993906,0.0,0
NCT04526613,6.440946540632921,2021.0,0,1,0,0,0,0,0,0,1974,1,0,0,1,1.0,13017.152958619134,0.0,0
NCT02290860,5.43372200355424,2014.0,1,0,0,0,0,0,0,0,807,0,0,0,2,2.0,10943.51611515824,0.0,0
