id|nct_id|name|downcase_name
294035208|NCT06668935|Diabetes Mellitus|diabetes mellitus
293427438|NCT01452048|Obesity|obesity
294035311|NCT04409795|Type 1 Diabetes|type 1 diabetes
294035312|NCT04409795|Monogenic Diabetes|monogenic diabetes
294035354|NCT06862778|Diabetes|diabetes
294035391|NCT05254314|Asthma|asthma
293427459|NCT04390295|Type 2 Diabetes Mellitus|type 2 diabetes mellitus
293427500|NCT02588950|Diabetes Mellitus, Type 2|diabetes mellitus, type 2
293427511|NCT05368311|Obesity|obesity
293427512|NCT05368311|Weight Loss|weight loss
293427513|NCT05368311|Protein|protein
293427606|NCT01280409|Diabetes, Gestational|diabetes, gestational
293427629|NCT03233425|Overweight|overweight
294035560|NCT06874270|Obesity and Overweight|obesity and overweight
294035574|NCT06044571|Obesity|obesity
294035575|NCT06044571|Multiple Chronic Conditions|multiple chronic conditions
294035589|NCT06693934|Diabetes|diabetes
294035590|NCT06693934|Pre Diabetes|pre diabetes
294035591|NCT06693934|Hypertension|hypertension
294035592|NCT06693934|Dyslipidemia|dyslipidemia
294035593|NCT06693934|Obesity|obesity
293427690|NCT01074762|Diabetes Mellitus|diabetes mellitus
293427691|NCT01074762|Quality of Health Care|quality of health care
293427692|NCT01074762|Health Services Research|health services research
293427712|NCT02418377|Childhood Obesity|childhood obesity
293427718|NCT01472328|Obesity|obesity
293427719|NCT01472328|Non-insulin-dependent Diabetes Mellitus|non-insulin-dependent diabetes mellitus
294035619|NCT05407376|Diabetes Mellitus, Type 2|diabetes mellitus, type 2
294035643|NCT06875622|Obesity/therapy|obesity/therapy
294035811|NCT06882291|Polycystic Ovary Syndrome|polycystic ovary syndrome
293427872|NCT01677013|Type 2 Diabetes Mellitus|type 2 diabetes mellitus
293427887|NCT03261882|Overweight and Obesity|overweight and obesity
294035901|NCT06882616|Weight Loss|weight loss
294035902|NCT06882616|Reduce the Risk of Cardiac Disease|reduce the risk of cardiac disease
294035903|NCT06882616|Carotis Intima-media Thickness|carotis intima-media thickness
293427921|NCT01906359|Type 2 Diabetes Mellitus|type 2 diabetes mellitus
293427937|NCT03014414|Obesity|obesity
293427946|NCT02171390|Hypogonadotrophic Hypogonadism|hypogonadotrophic hypogonadism
293427953|NCT02733562|Other Habit and Impulse Disorders|other habit and impulse disorders
293427954|NCT02733562|Obesity|obesity
293630371|NCT03547427|Type 1 Diabetes Mellitus|type 1 diabetes mellitus
293630379|NCT05324241|Constipation|constipation
293630395|NCT02212665|Prevention of Developing Type 2 Diabetes|prevention of developing type 2 diabetes
293428015|NCT00775684|Pre-diabetes|pre-diabetes
293428016|NCT00775684|Type 2 Diabetes|type 2 diabetes
293661718|NCT01425359|Angina Pectoris|angina pectoris
293428087|NCT00810173|Behavior Change|behavior change
293428121|NCT03940482|Type 2 Diabetes Mellitus|type 2 diabetes mellitus
294036059|NCT06857994|Peripheral Diabetic Neuropathy|peripheral diabetic neuropathy
294036060|NCT06857994|Cardiovascular Autonomic Neuropathy|cardiovascular autonomic neuropathy
294036061|NCT06857994|Cognitive Impairment|cognitive impairment
294036062|NCT06857994|Diabetes Type 2|diabetes type 2
294036174|NCT06623006|Type 2 Diabetes Mellitus (T2DM)|type 2 diabetes mellitus (t2dm)
294036185|NCT06874725|Latent Tuberculosis Infection|latent tuberculosis infection
294036217|NCT06694935|Type 2 Diabetes Mellitus (T2DM)|type 2 diabetes mellitus (t2dm)
294036218|NCT06694935|Non-Alcoholic Fatty Liver Disease (NAFLD)|non-alcoholic fatty liver disease (nafld)
293428242|NCT07184086|Obesity|obesity
294036259|NCT06722326|Obesity|obesity
293630456|NCT06405386|Diabetes type1|diabetes type1
293630457|NCT06405386|Diabetes Mellitus, Type 1|diabetes mellitus, type 1
293630458|NCT06405386|Diabetes, Autoimmune|diabetes, autoimmune
293630459|NCT06405386|Diabetes Mellitus|diabetes mellitus
293630460|NCT06405386|Distress, Emotional|distress, emotional
294036403|NCT06704763|Healthy|healthy
293630477|NCT00648284|Type 2 Diabetes Mellitus|type 2 diabetes mellitus
293630478|NCT00648284|CV Risk|cv risk
293630487|NCT03239457|Diabetic Foot|diabetic foot
294036421|NCT06721754|Diabetic Foot Ulcer|diabetic foot ulcer
294036439|NCT06734312|Obesity and Obesity-related Medical Conditions|obesity and obesity-related medical conditions
294036440|NCT06734312|Obesity and Overweight|obesity and overweight
294036441|NCT06734312|Obesity Prevention|obesity prevention
294036442|NCT06734312|Obesity Recidivism|obesity recidivism
294036443|NCT06734312|GLP-1|glp-1
294036444|NCT06734312|Ablation Techniques|ablation techniques
294036453|NCT06216665|Insulin Sensitivity|insulin sensitivity
293428335|NCT02613741|Obesity|obesity
293428336|NCT02613741|Cardiovascular Disease|cardiovascular disease
293428381|NCT02674230|Obesity|obesity
293428382|NCT02674230|Circadian Dysregulation|circadian dysregulation
293428383|NCT02674230|Aging|aging
293428384|NCT02674230|Cardiovascular Disease|cardiovascular disease
293661719|NCT01425359|Coronary Artery Disease|coronary artery disease
293630554|NCT00046904|Anorexia|anorexia
293630555|NCT00046904|Cachexia|cachexia
293630556|NCT00046904|Unspecified Adult Solid Tumor, Protocol Specific|unspecified adult solid tumor, protocol specific
293630604|NCT03261895|Diabetes Mellitus, Type 2|diabetes mellitus, type 2
