特征英文名,特征中文名,SHAP重要性,排名
high_risk_term_count,高风险术语计数（安全性文本信号强度特征）,1.1498082952618152,1
risk_ratio,风险比率（安全性文本信号强度特征）,1.0055245179465957,2
criteria_total_len,入排标准总字符数（入排标准与患者选择特征）,0.7244579292516359,3
is_obesity,肥胖相关试验（适应症与目标人群风险特征）,0.4977883405774962,4
pre_semaglutide_era,司美格鲁肽上市前时代（药物研发时代与里程碑特征）,0.27652438469226887,5
post_semaglutide_era,司美格鲁肽上市后时代（药物研发时代与里程碑特征）,0.27652438469226825,6
start_year,试验开始年份（药物研发时代与里程碑特征）,0.20819929148149952,7
mentions_bmi,提及BMI（入排标准与患者选择特征）,0.15535468387923182,8
enrollment_log,注册人数对数（试验规模与统计效力特征）,0.13595250970667613,9
year_x_enrollment,年份 × 注册人数对数（交互特征）,0.12846866106377716,10
mentions_contraindication,提及禁忌症（入排标准与患者选择特征）,0.056340702045899374,11
mentions_renal_cutoff,提及肾功能阈值（入排标准与患者选择特征）,0.04244806347616985,12
is_weight_loss,减重为主要终点的试验（适应症与目标人群风险特征）,0.04107620296213323,13
is_t2d,2型糖尿病试验（适应症与目标人群风险特征）,0.018954762743830213,14
exc_count,排除标准数量（入排标准与患者选择特征）,0.011278209108612445,15
phase_PHASE4,IV期上市后研究（试验阶段与监管风险特征）,0.0,16
phase_Unknown,试验阶段未知（试验阶段与监管风险特征）,0.0,17
enrollment_log_x_phase_Unknown,注册人数对数 × 阶段未知（交互特征）,0.0,18
